كاين,O
ستاظ,O
1,O
نوفنبر,O
في,O
باتنة,B-LOC
وكاين,O
وهران,B-LOC
وعنابة..,B-LOC
بصح,O
هوما,O
يبغو,O
العاصمة,B-LOC
خلي,O
,
راهم,O
يعطوهم,O
دراهم,O
الدولة,O
باش,O
يسقمو,O
بصح,O
مشكلة,O
في,O
لي,O
تحت,O
بولبويات,O
ياكلو,O
في,O
دراهم,O
يشرو,O
صوالح,O
بأرخص,O
أثمنة,O
و,O
باش,O
يخدمو,O
بلادهم,O
يسرقوها,O
علاه,O
مانتقدموش,O
علاه,O
العصابة,O
راهي,O
في,O
الادارات,O
,
بونجاح,B-PERS
خارج,O
,
هذي,O
هي,O
القوة,O
الضاربة,O
,
لانو,O
تعودنا,O
نسكتو,O
ونخافو,O
ونستعرف,O
بيهم,O
انهم,O
دارو,O
ستوريات,O
قبل,O
المبارات,O
هكدا,O
,
بالاك,O
يخافو,O
الي,O
يديرو,O
في,O
هاد,O
المهزلة,O
,
حسبنا,O
الله,O
ونعم,O
الوكيل,O
في,O
راني,O
نشوف,O
في,O
بلماضي,B-PERS
راه,O
رايح,O
ربي,O
وكيلكم,O
,
يريدون,O
دفع,O
بلماضي,B-PERS
للاستقالة,O
بأي,O
طريقة,O
كانت,O
هم,O
يلعمو,O
وان,O
45,O
مليون,O
جزائري,O
مع,O
بلماضي,B-PERS
لهذا,O
يريدون,O
دفعه,O
للاستقالة,O
حتى,O
لا,O
يقعوا,O
في,O
حرج,O
امام,O
الشعب,O
لم,O
نرى,O
ملعب,O
تشاكر,B-PERS
بهذا,O
السوء,O
من,O
قبل,O
حتى,O
بدران,B-PERS
قالهم,O
البارح,O
بلي,O
اول,O
مرة,O
نرى,O
الملعب,O
بهذا,O
السوء,O
بالرغم,O
من,O
انني,O
العب…,O
,
محبيتوش,O
تفهموا,O
بلي,O
المشكل,O
ماشي,O
في,O
مسؤول,O
و,O
لا,O
شخص,O
تتم,O
اقالته,O
و,O
انتهى,O
المشكل,O
،,O
المشكل,O
في,O
منظومة,O
بأكملها,O
جيبها,O
من,O
اول,O
مسؤول,O
في,O
البلد,O
و,O
اهبط,O
حنى,O
للشعب,O
.,O
لوكان,O
رماو,O
البراقة,O
نتاع,O
الزواوش,O
,
تخرج,O
خير,O
من,O
هكذا,O
,
درك,O
يخرج,O
مدير,O
الملعب,O
يقلك,O
الثليفونات,O
لي,O
صورو,O
بيهم,O
هم,O
السبة,O
,
والارضية,O
راهي,O
مليحة,O
,
ارضية,O
تصلح,O
لكل,O
شيء,O
ما,O
عدا,O
كرة,O
القدم,O
,
كل,O
هذا,O
من,O
أجل,O
إخراج,O
,
من,O
المنتخب...,O
حبو,O
يكرهو,O
له,O
حياته....,O
أعداء,O
النجاح..,O
,
واحد,O
يريبوندي,O
لبغداد,B-PERS
يقلو,O
راها,O
تتكتب,O
ابهى,O
,
شيء,O
جميل,O
ان,O
يندد,O
اللاعبون,O
بالأمر,O
خاصة,O
انهم,O
المعنيون,O
مباشرة,O
لأن,O
بلماضي,B-PERS
يتحسر,O
الآن,O
بعد,O
ان,O
اقتنع,O
ان,O
المسؤولين,O
عبارة,O
عن,O
فاشلين,O
غير,O
قابلين,O
للتصحيح,O
...,O
و,O
كما,O
قال,O
لن,O
اتكلم,O
مجددا,O
لأن,O
الموضوع,O
اصبح,O
مخزي,O
جدا,O
,
